episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
99,5000,47.3,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
100,5050,47.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
101,5100,48.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
102,5150,49.0,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
103,5200,49.4,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
104,5250,49.8,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
105,5300,50.1,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
106,5350,50.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
107,5400,50.9,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
108,5450,51.3,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
109,5500,51.7,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
110,5550,52.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
111,5600,52.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
112,5650,53.1,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
113,5700,53.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
114,5750,53.9,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
115,5800,54.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
116,5850,54.7,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
117,5900,55.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
118,5950,55.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
119,6000,55.8,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
120,6050,56.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
121,6100,56.5,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
122,6150,56.9,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
123,6200,57.3,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
124,6250,57.7,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
125,6300,58.0,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
126,6350,58.4,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
127,6400,58.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
128,6450,59.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
129,6500,59.6,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
130,6550,60.0,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
131,6600,60.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
132,6650,60.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
133,6700,61.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
134,6750,61.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
135,6800,61.9,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
136,6850,62.3,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
137,6900,62.7,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
138,6950,63.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
139,7000,63.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
140,7050,64.1,rainbow_cnn_dqn,,2.1,,50,0,,,,,,,,,,,
141,7100,64.5,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
142,7150,64.9,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
143,7200,65.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
144,7250,65.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
145,7300,66.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
146,7350,66.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
147,7400,66.8,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
148,7450,67.2,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
149,7500,67.6,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
150,7550,68.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
151,7600,69.0,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
152,7650,69.3,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
153,7700,69.7,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
154,7750,70.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
155,7800,70.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
156,7850,70.9,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
157,7900,71.2,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
158,7950,71.6,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
159,8000,72.0,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
160,8050,72.4,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
161,8100,72.8,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
162,8150,73.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
163,8200,73.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
164,8250,74.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
165,8300,74.6,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
166,8350,75.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
167,8400,75.3,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
168,8450,75.7,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
169,8500,76.1,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
170,8550,76.5,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
171,8600,76.9,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
172,8650,77.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
173,8700,77.7,rainbow_cnn_dqn,,3.9,,50,0,,,,,,,,,,,
174,8750,78.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
175,8800,78.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
176,8850,78.8,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
177,8900,79.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
178,8950,79.6,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
179,9000,80.0,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
180,9050,80.4,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
181,9100,80.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
182,9150,81.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
183,9200,81.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
184,9250,81.9,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
185,9300,82.3,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
186,9350,82.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
187,9400,83.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
