number,state,value,batch_size,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init,v_max
57,PRUNED,24.089000000000045,128,0.000284381679743626,3,1000,0.6728771068007176,0.3216788522722018,0.3125816613078559,20.0
58,COMPLETE,19.50000000000003,64,0.0001628448664182663,5,500,0.6087957039571623,0.3648282228350076,0.45996834784634133,20.0
59,COMPLETE,8.399999999999986,64,0.0002235147534320808,5,2000,0.6211503796904614,0.3398439175403902,0.412709597711322,30.0
60,COMPLETE,58.32500000000045,64,7.137235499574311e-05,5,2000,0.6549835480123334,0.3837452035231422,0.41482863072678383,30.0
61,PRUNED,9.497999999999998,64,0.00015276198144348807,5,2000,0.6089330457993083,0.3131455760242595,0.34251988059956856,30.0
62,PRUNED,8.819999999999997,64,1.8031453172475674e-05,5,2000,0.508390582400211,0.31681021893632316,0.39271852276792113,30.0
63,COMPLETE,2.0000000000000013,64,3.294861479151441e-05,5,2000,0.6936518142689627,0.382476750881424,0.42023037035100497,30.0
64,COMPLETE,8.399999999999986,64,0.0001852596927491325,5,500,0.5969669911376055,0.3561638693191626,0.4993863839439606,20.0
65,PRUNED,4.314999999999997,64,0.00035513051256519303,1,500,0.6528014431906445,0.3968751295659185,0.42450728667853077,20.0
66,PRUNED,42.46099999999987,32,0.0001297429327853191,5,2000,0.6179005442180259,0.38187021381292335,0.42328831482891277,30.0
67,COMPLETE,2.0000000000000013,64,8.240710654527138e-05,1,1000,0.6984090267243123,0.4538038519395061,0.4092896326017305,30.0
68,PRUNED,47.11699999999971,64,8.62453148336235e-05,5,8000,0.5726113088988226,0.4178058870136091,0.3879426625123945,30.0
69,PRUNED,10.455,64,6.19171978653044e-05,5,2000,0.6362396647775357,0.3672629283163706,0.30796397328359815,15.0
70,COMPLETE,8.574999999999985,32,0.00039793389677327294,5,8000,0.6497607911212797,0.3396591673314168,0.4559857081709096,15.0
71,PRUNED,11.155000000000008,64,0.0001401308016438271,5,2000,0.5537669527248925,0.5401856061133845,0.4064885581068514,30.0
72,COMPLETE,2.0000000000000013,64,4.751333314452133e-05,5,500,0.6634453969346011,0.30933179258615806,0.3085395964051301,30.0
73,PRUNED,12.69100000000001,64,4.9688376433822226e-05,5,500,0.6051748631992001,0.35989252592013377,0.3581873129130843,30.0
74,PRUNED,4.080999999999996,128,0.00021386405247474384,5,8000,0.6517354825472355,0.341907390691264,0.5631918097710423,15.0
75,PRUNED,12.737000000000014,128,5.977793497031231e-05,5,500,0.6981132008599853,0.42339349526055053,0.3819405146543303,20.0
76,PRUNED,42.38399999999991,64,6.834408570855135e-05,5,1000,0.6314410397815701,0.39991236928633944,0.532199532392752,15.0
77,PRUNED,12.33400000000002,64,0.00012666499710206023,5,1000,0.6992444280547296,0.35562977032124077,0.42793847419353415,30.0
78,COMPLETE,2.0000000000000013,64,0.00017423189339214732,3,500,0.6545423117937702,0.40255552889160956,0.4217614799299252,30.0
79,PRUNED,10.716999999999992,64,5.89525529793428e-05,5,2000,0.6811043519383487,0.405604990281193,0.6499378429737706,20.0
80,PRUNED,11.225000000000001,64,0.00019063086348760773,5,500,0.6038872619602182,0.38476634955430256,0.3737511067813295,15.0
81,PRUNED,47.397999999999776,64,8.377006949365232e-05,5,2000,0.5660018145844632,0.4178200490084228,0.48566775729269224,30.0
82,PRUNED,31.651000000000053,128,9.649594048834976e-05,5,2000,0.6846577214164659,0.3679904210837457,0.48317713971367593,30.0
83,PRUNED,12.320000000000007,64,0.0003304875096033488,3,2000,0.5345067810429338,0.3552243051997519,0.5272329487745231,20.0
84,PRUNED,4.534999999999997,64,7.75153438993859e-05,1,2000,0.681365257376227,0.3364550265682362,0.4729509247173727,15.0
85,PRUNED,56.76199999999976,32,0.00037128126956604505,3,500,0.5283187193890311,0.3036985022301686,0.4469812280769232,30.0
86,PRUNED,56.33599999999943,32,0.00029011208921098753,3,1000,0.5564649049584117,0.3996630683828715,0.3297766668175768,15.0
87,PRUNED,2.1669999999999994,32,0.0003217823294313874,1,8000,0.5537120412386396,0.4340524791157151,0.429439527475506,15.0
88,COMPLETE,2.0000000000000013,64,5.122184988336783e-05,3,500,0.6458270497565219,0.3908462321082836,0.49461498108342294,20.0
89,PRUNED,9.934999999999995,64,0.00041075504440739893,3,2000,0.5227531658118811,0.31167863973651216,0.4431276497223263,30.0
90,PRUNED,8.723999999999995,64,0.00039723256603582435,3,2000,0.5452970502710724,0.32195593923898036,0.39560678032492935,30.0
91,PRUNED,5.598999999999994,32,0.00040995742787121856,3,8000,0.5868002827310949,0.39274759652622765,0.5162523421972719,15.0
92,PRUNED,31.26499999999994,32,0.000475017027018123,3,8000,0.663683401482323,0.35662758089647173,0.5417470491302919,15.0
93,PRUNED,36.44899999999987,32,9.168983004806749e-05,5,1000,0.5739874725931281,0.3161560485458477,0.5294992329039195,20.0
94,PRUNED,13.562000000000026,32,0.0003428649911764809,5,2000,0.6576366814902818,0.322267579640819,0.36331974500743325,20.0
95,PRUNED,21.486000000000082,32,0.0003219747634129656,5,2000,0.6891144886439201,0.3612597494742184,0.32441190666865694,20.0
96,PRUNED,21.14900000000008,32,0.00030964817274596097,5,500,0.6421627123464371,0.3696703568183862,0.42797776181196145,20.0
97,PRUNED,31.38900000000002,64,0.00012694628988317266,5,2000,0.6408475221657601,0.32902395680032764,0.46215968837674765,20.0
98,PRUNED,44.84299999999964,32,0.0004114851898991188,3,2000,0.6757123505938742,0.31186073246851004,0.33134535397858617,15.0
99,COMPLETE,7.19999999999999,32,0.00033459278989974,3,2000,0.6472162931443812,0.35698503786218433,0.30819222082550585,20.0
100,PRUNED,9.965999999999994,128,0.00022975824462553754,5,2000,0.5847657440794077,0.358815292931454,0.366896274223902,20.0
101,PRUNED,20.548000000000048,128,0.0003249378229210525,3,2000,0.5879961344577833,0.33389144078668215,0.4178060797129418,20.0
102,PRUNED,33.17599999999994,64,9.230593805707614e-05,5,500,0.5578015147334763,0.40666165413299427,0.3379904351563925,20.0
103,PRUNED,4.331999999999996,32,0.00019374387203840892,1,1000,0.6422300158666802,0.3413922473311851,0.3193353406409317,20.0
104,PRUNED,24.77300000000007,32,0.00017136463473665006,5,1000,0.6319215702246507,0.3689119125024075,0.37923850480360244,15.0
105,PRUNED,37.72399999999994,32,0.00012419297368498094,5,500,0.5637261736466554,0.31246408219563887,0.31406390980738075,15.0
106,PRUNED,4.186999999999997,32,0.00029589829772375245,1,2000,0.654577343504019,0.41680293575640637,0.39185125165030554,20.0
107,PRUNED,31.355999999999966,32,0.00019446919434579468,5,1000,0.5334907605708942,0.34741105023307894,0.4401825169939063,15.0
108,PRUNED,11.324000000000002,32,0.0001972606565615042,5,2000,0.513959053584599,0.3459746631716959,0.32012572208807,15.0
109,PRUNED,36.142999999999965,32,0.00011708437605564452,5,2000,0.47378897020985644,0.3627022715272524,0.37717486755463986,15.0
110,PRUNED,11.049000000000019,64,0.00035374862302118345,5,8000,0.5852095730209933,0.308357058632477,0.42307246762128026,20.0
