number,state,value,batch_size,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init,v_max
111,COMPLETE,8.849999999999984,32,0.00025789740939828615,5,2000,0.6602807376415036,0.3234738368190531,0.4377915601123619,15.0
112,PRUNED,12.538000000000011,128,0.0003098786235451049,5,2000,0.4412604733013993,0.3238933194284178,0.42056346100393655,15.0
113,PRUNED,6.249999999999993,64,0.00022076791114196932,3,8000,0.624899555966222,0.3652273830947431,0.3565971319034423,30.0
114,COMPLETE,4.674999999999995,32,0.0002728375930863424,5,8000,0.646617220949111,0.3029239914129484,0.48482614379126965,15.0
115,PRUNED,9.657,32,0.0003875787962796496,5,2000,0.5394027346251641,0.3557592605028566,0.4258740359998806,15.0
116,PRUNED,22.082000000000047,32,0.00042287693627658917,5,8000,0.5978047735821291,0.34395071052415915,0.42409827110844467,15.0
117,PRUNED,9.452999999999998,32,0.0004137713446737862,5,2000,0.6546357553826887,0.3119536542377487,0.4513161503447081,15.0
118,COMPLETE,2.0000000000000013,64,7.35621810254524e-05,3,2000,0.6623097859923432,0.3994272489012829,0.4699399864647392,30.0
119,PRUNED,39.212999999999845,64,9.136248466217767e-05,5,2000,0.6931071982585246,0.40067741746434904,0.3294673975572301,30.0
120,COMPLETE,2.0000000000000013,64,5.9617504620935026e-05,5,2000,0.6754259210594518,0.33427954368474616,0.4589176571333703,30.0
121,COMPLETE,2.0000000000000013,32,7.401535087703931e-05,3,2000,0.5842968858852866,0.3212207583982274,0.3614745498140988,20.0
122,PRUNED,10.479000000000003,32,0.00043341008055073694,5,2000,0.6191893394677245,0.34084245710353145,0.3657548436259007,30.0
123,PRUNED,15.338000000000036,64,0.000304613588288204,5,2000,0.6003242372840828,0.30616430330209393,0.39482911430641743,15.0
124,PRUNED,35.96400000000008,32,7.645752610745677e-05,5,2000,0.6440516638387702,0.3664244535012445,0.478384453195851,15.0
125,PRUNED,38.63099999999989,32,0.0001530364678781297,5,2000,0.6911624834113119,0.4255499080746,0.4199303413724438,15.0
126,COMPLETE,17.90000000000001,64,0.00012123455368551788,5,500,0.6419395899033956,0.3134325597429188,0.4285032544411904,20.0
127,PRUNED,38.37699999999997,32,0.0004872799070191633,3,500,0.6589557489458846,0.3299004302346124,0.476911703308535,20.0
128,PRUNED,12.066000000000004,32,0.00022823411676570893,3,2000,0.6318239812450025,0.3716448740012096,0.45234802481120995,20.0
129,PRUNED,11.319000000000006,32,0.0004301235032736653,3,2000,0.5953356651806653,0.3609974677044194,0.39344488532138633,20.0
