episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
115,5800,53.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
116,5850,53.8,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
117,5900,54.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
118,5950,54.5,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
119,6000,54.9,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
120,6050,55.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
121,6100,55.6,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
122,6150,56.0,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
123,6200,56.4,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
124,6250,56.7,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
125,6300,57.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
126,6350,57.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
127,6400,57.9,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
128,6450,58.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
129,6500,58.6,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
130,6550,59.0,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
131,6600,59.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
132,6650,59.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
133,6700,60.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
134,6750,60.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
135,6800,60.8,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
136,6850,61.2,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
137,6900,61.6,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
138,6950,62.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
139,7000,62.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
140,7050,63.0,rainbow_cnn_dqn,,2.1,,50,0,,,,,,,,,,,
141,7100,63.4,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
142,7150,63.8,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
143,7200,64.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
144,7250,64.5,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
145,7300,64.9,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
146,7350,65.3,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
147,7400,65.6,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
148,7450,66.0,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
149,7500,66.4,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
150,7550,66.7,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
151,7600,67.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
152,7650,67.5,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
153,7700,67.9,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
154,7750,68.2,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
155,7800,68.6,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
156,7850,69.0,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
157,7900,69.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
158,7950,69.7,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
159,8000,70.1,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
160,8050,70.5,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
161,8100,70.8,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
162,8150,71.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
163,8200,71.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
164,8250,72.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
165,8300,72.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
