number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
17,COMPLETE,34.84377777777775,0.1,0.028555218547989727,0.9563890988587403,512,0.00027255018716355124,256,6,8192,0.5806757430012578
18,PRUNED,26.832000000000008,0.1,0.02992844882302528,0.9608098941010518,512,0.0006998314885779374,256,6,8192,0.5682325790969251
19,COMPLETE,48.43355555555555,0.1,0.006992204674704706,0.9605561510035641,512,0.0006174151780950114,256,6,8192,0.7962534538420097
20,PRUNED,37.88333333333333,0.2,0.007836707230888518,0.9717949695277819,256,3.542302283504573e-05,256,4,8192,0.8648366383254623
21,PRUNED,33.88399999999999,0.2,0.01000086309924207,0.9771421197636032,512,0.0001129999968830022,128,3,8192,0.5002244757273984
22,COMPLETE,41.34111111111108,0.3,0.02265463535605257,0.9155951042733302,512,0.0002640229950437564,256,6,4096,0.3352493124069375
23,COMPLETE,52.94466666666664,0.3,0.023227552491427557,0.9133169964425161,512,0.0002366778809539601,256,6,8192,0.619435852755521
24,PRUNED,32.664666666666655,0.3,0.009366308213591542,0.9333075816055839,512,0.00038457658489970427,256,10,4096,0.4763108747783646
25,COMPLETE,48.682444444444386,0.3,0.021423445749798493,0.9203232487278039,512,0.000175983895963601,256,6,4096,0.3605450242683869
26,COMPLETE,31.646444444444484,0.3,0.04071251433542475,0.9149967583644982,512,0.00011101217572112371,256,6,4096,0.4334734478311517
27,COMPLETE,37.01888888888888,0.3,0.03008576803146945,0.9171945175085041,512,0.000312757311662461,256,6,4096,0.43253797063703386
28,PRUNED,33.78133333333332,0.3,0.04113998802738724,0.9007070709912878,512,0.00029197660916578715,256,6,4096,0.49262736886128067
29,PRUNED,25.14133333333335,0.3,0.011795973769885547,0.9024528355995929,512,0.0006842492912078146,256,6,4096,0.36860812987336683
30,COMPLETE,45.0491111111111,0.3,0.00502038806261314,0.9019936347969124,512,0.0009449685240590334,256,4,4096,0.3859151087640701
31,COMPLETE,59.74777777777775,0.3,0.008194679510961441,0.9029544115837189,512,0.0006144689269969267,256,4,4096,0.747302326164326
32,COMPLETE,59.737555555555616,0.3,0.006012934054533602,0.9077231593502457,512,0.00015602010477532593,64,4,4096,0.5614909881194153
33,COMPLETE,57.145555555555475,0.3,0.0063098491646458475,0.9098501371401291,512,0.0002488338691811708,128,4,4096,0.5160838460988965
34,COMPLETE,51.956666666666656,0.1,0.006458239799600576,0.9102647190477828,512,0.0005275393196127429,256,6,8192,0.6227388062680991
35,PRUNED,33.872666666666674,0.1,0.0075793658854104795,0.9091421472210426,512,0.00019512287413372126,128,4,4096,0.40324879888571197
36,PRUNED,28.785999999999987,0.3,0.006995094246439655,0.966527981462665,512,0.0006461102124564268,256,6,4096,0.8059498464771185
37,COMPLETE,42.443333333333335,0.3,0.0051973713503105316,0.9125887297429136,512,0.0003312646025784208,128,4,4096,0.7882094819361258
38,PRUNED,41.91666666666666,0.1,0.005485495686722442,0.9612692105554235,512,0.0005867582553886123,128,4,8192,0.847926788696617
39,PRUNED,53.557999999999986,0.2,0.03429694094759989,0.9137605209565339,512,0.00020893388998051955,256,6,8192,0.6537392403304926
40,COMPLETE,54.237777777777765,0.2,0.008058707307456052,0.9039049995302391,512,0.0002910331158048285,256,4,4096,0.5295880702230031
41,COMPLETE,48.01377777777779,0.2,0.005482585973732289,0.9241848988406391,512,0.00023399880170462949,256,4,4096,0.5773398823803692
42,COMPLETE,48.32977777777774,0.3,0.0056249244898708495,0.9087573882978938,256,0.00028305764512075637,256,4,4096,0.45539171888784996
43,PRUNED,62.33466666666663,0.3,0.011475724341194765,0.9118074581120341,256,0.0002207768116917299,256,6,8192,0.7565373932284282
44,PRUNED,55.26133333333331,0.1,0.005934496582450684,0.9587444339186392,512,0.0002958280324721376,256,6,8192,0.8137431476403177
45,COMPLETE,60.30955555555544,0.3,0.01189568691538168,0.9111712394053804,512,0.0003539703747568346,64,4,4096,0.7684839661511679
46,COMPLETE,57.54199999999996,0.3,0.005871111001834708,0.9290921012455335,512,0.00014148405281844904,64,4,4096,0.6736062326983634
47,COMPLETE,40.17066666666662,0.2,0.009535100373054361,0.9053041695363626,512,0.0008456931549194097,256,4,4096,0.8718247917659084
48,PRUNED,38.77933333333331,0.3,0.005689168095218973,0.9121663632335297,256,0.00014905069447224394,64,4,4096,0.5455160710910492
49,COMPLETE,47.301555555555524,0.3,0.005669411294779973,0.9026803035125017,512,0.00014729495649095595,64,3,4096,0.7354880217397473
50,COMPLETE,51.53288888888887,0.3,0.005532340652092274,0.9051782588587021,512,0.0007287633446950784,256,6,4096,0.9105415543675733
51,COMPLETE,61.2108888888888,0.3,0.011261898076505652,0.9016487333556713,512,0.00020764370270877794,64,4,8192,0.5565767129661228
52,PRUNED,33.74000000000001,0.3,0.012143141430987364,0.9140922973291253,512,0.00034149972547533014,256,4,4096,0.8212813696543553
53,COMPLETE,38.002222222222215,0.2,0.007543244363957217,0.9264242008297837,512,0.00014496104406821033,256,4,4096,0.6161924761816143
54,COMPLETE,47.48177777777776,0.2,0.010978643778739236,0.9171354931259824,512,0.0003150733405499904,256,4,4096,0.6077506242722889
55,COMPLETE,47.259111111111054,0.3,0.005688735771681616,0.9037380507830466,512,0.00017827824322195555,64,3,4096,0.5522524443723009
56,COMPLETE,46.26177777777775,0.3,0.006670263791379052,0.9124806501431949,512,0.0002055512890729647,64,3,4096,0.5687773301145497
57,PRUNED,34.63866666666665,0.3,0.008768746161559655,0.9061440418971661,512,0.00038348931290730715,64,10,4096,0.7535070970238131
58,COMPLETE,55.373333333333285,0.3,0.012224457599505325,0.9340627648174732,512,0.00029738855307858016,64,4,4096,0.7473086054529308
