number,state,value,batch_size,hidden_dim,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init
36,COMPLETE,53.5750000000004,128,512,0.0003072820128309516,3,8000,0.3920852709466809,0.514541142260172,0.592602420769306
37,PRUNED,115.25200000000035,128,512,0.0004122483440142053,3,8000,0.3640123430007293,0.5158075003800193,0.6107095242369109
38,PRUNED,42.33299999999993,32,512,0.0005237487669021275,5,1000,0.5393153803624852,0.32732431094307085,0.36538475674988685
39,PRUNED,29.359000000000016,32,512,0.0008369110994863661,5,8000,0.5251325501117299,0.3177642976857941,0.3995106415906124
40,PRUNED,101.49299999999921,32,512,0.00014058699272266598,5,1000,0.6071598963646595,0.34068466890549287,0.4342015885879462
41,PRUNED,45.48899999999978,32,256,0.000887178297198753,5,2000,0.5184877671753251,0.3099236778895898,0.4949437274877876
42,COMPLETE,14.99999999999997,32,256,0.0001671627642648913,5,2000,0.6935312478474189,0.49235172235010594,0.4843633915683586
43,COMPLETE,35.2000000000002,32,256,0.00016471701757481702,5,2000,0.5770741580846397,0.5751191298178577,0.6051309623917044
44,PRUNED,65.15499999999987,32,256,0.0003469806956467082,5,2000,0.6794165197661521,0.49164844009626496,0.5087190985154129
45,PRUNED,88.44099999999939,64,256,0.00017146698714908893,5,1000,0.6672408490429816,0.3098123129367071,0.4365015188761968
46,COMPLETE,3.8999999999999986,64,256,0.0002530546791707299,3,2000,0.6646083472109089,0.3225148480700829,0.4202030791610769
47,PRUNED,4.604999999999997,64,256,0.00019045893570588852,1,1000,0.6846644681761621,0.33154660158961047,0.375068104549135
48,PRUNED,2.035000000000001,64,256,5.028938725737588e-05,1,1000,0.6988679531644072,0.3417359702805318,0.38595090258023573
49,PRUNED,4.188999999999997,128,256,0.00011511917652446038,1,1000,0.6155423446796489,0.3785229163773144,0.34958983332456367
50,PRUNED,8.363999999999995,64,256,6.04521060531989e-05,5,500,0.6921714859749181,0.34140551907110955,0.38295582754845
51,COMPLETE,58.47500000000045,64,256,8.989712748634808e-05,5,500,0.641629227119708,0.3139684974684534,0.3928011876057426
