number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
128,PRUNED,7.0809999999999915,0.3,0.04194138359678234,0.964294426282199,256,8.112298796433315e-05,128,3,4096,0.9830553906473969
129,COMPLETE,6.799999999999992,0.1,0.019637783371300437,0.9081865008675643,256,0.0004406256770123562,128,4,4096,0.6642575090479134
130,PRUNED,5.181999999999993,0.1,0.017008556685603613,0.9390015813732826,512,0.0003275238475986164,128,10,4096,0.9666607600961454
131,COMPLETE,59.65000000000031,0.1,0.01718806356983961,0.9486531860030184,512,0.00010359033560768501,128,10,4096,0.847454858630771
132,PRUNED,12.424000000000008,0.1,0.009060498867939965,0.9362599940087154,256,2.4708568339844453e-05,128,6,4096,0.5176387785762844
133,PRUNED,42.912999999999826,0.1,0.023331217047188425,0.9411311752180685,512,4.350152687599359e-05,64,4,4096,0.7839771442906666
134,PRUNED,4.262999999999996,0.1,0.0093222361233855,0.9261027344609581,256,2.50781266713226e-05,64,10,8192,0.5145390740281431
135,COMPLETE,76.79999999999988,0.3,0.012684767712391316,0.9009585990959248,256,0.00016883345538468728,128,4,4096,0.7537950947605883
136,PRUNED,5.2519999999999945,0.3,0.007290873965488765,0.9091450017214718,256,0.00021266360937290842,128,10,4096,0.6219246023660202
137,COMPLETE,8.599999999999985,0.1,0.008157510360856407,0.9546521612459947,512,4.772482548065588e-05,128,3,4096,0.9752877417532836
138,PRUNED,6.366999999999993,0.2,0.00525424522032505,0.9384375698801886,256,1.651108664867872e-05,128,10,4096,0.5972847058386026
139,COMPLETE,30.05000000000014,0.1,0.015949939321293873,0.9718289938385009,256,4.641378592187246e-05,64,4,4096,0.6672270318519609
140,COMPLETE,41.200000000000266,0.1,0.005423182732481598,0.916428553639401,256,2.9489560680861e-05,128,10,4096,0.6218269570945828
141,PRUNED,8.898999999999992,0.1,0.007216146416600798,0.9095428560413391,256,1.1610394522087697e-05,128,10,4096,0.7147367689871196
142,PRUNED,6.476999999999992,0.1,0.00563370789832764,0.9122327197651462,256,2.313566330586693e-05,128,10,4096,0.6194084032036918
143,PRUNED,78.95899999999962,0.3,0.008984309420411537,0.9068164114802391,256,5.302062063149273e-05,128,6,4096,0.7152841209100238
144,PRUNED,7.28799999999999,0.1,0.010299961853667279,0.9140467801240716,256,0.00021291338142723822,64,4,4096,0.6982131709554461
145,COMPLETE,4.6249999999999964,0.3,0.013835398777734756,0.9125342478458354,256,0.0001240085804877176,64,4,4096,0.7071395899791068
146,COMPLETE,11.29999999999998,0.3,0.008628532250324289,0.9090202948199183,256,8.09219787145649e-05,128,4,4096,0.926763109817928
147,PRUNED,6.628999999999991,0.1,0.018090433646036512,0.9574770771973616,512,5.986808461513045e-05,128,10,4096,0.9988573091103271
148,COMPLETE,13.82499999999997,0.2,0.006709812677716933,0.9067518622866894,256,0.00019226523212238257,128,3,4096,0.6513986758460873
149,PRUNED,6.104999999999993,0.1,0.00749033362272401,0.9570227746850949,512,9.308499737385399e-05,128,3,4096,0.9897274592950857
150,PRUNED,6.0519999999999925,0.3,0.00789481291656005,0.9102248140315976,256,2.3692754819793254e-05,64,4,4096,0.8077612523021676
151,COMPLETE,70.90000000000012,0.1,0.0201395781826156,0.9772303971900308,512,0.00010873796807267127,128,6,4096,0.8682168828120093
152,PRUNED,50.85899999999967,0.1,0.02574067448274996,0.9557878317037081,512,0.0001731670524253666,128,6,4096,0.8185998662574409
153,COMPLETE,89.04999999999932,0.2,0.01710410048203989,0.9549998913264208,256,5.611657678447307e-05,64,10,4096,0.9489970306259878
154,PRUNED,3.5929999999999978,0.2,0.018202791813736515,0.9480783764195699,256,0.0003164334215381477,64,10,4096,0.8958026543824609
155,PRUNED,6.026999999999991,0.1,0.019699525193447413,0.951427895440922,512,0.0001726598782720498,128,6,4096,0.7364006831740998
156,PRUNED,6.056999999999993,0.2,0.01572834496302053,0.9481172027055282,256,2.5905120804778324e-05,64,4,4096,0.9277429909274741
157,PRUNED,58.97799999999942,0.2,0.018208174183455245,0.9492879160067721,256,7.823774634615167e-05,64,10,4096,0.9991132081736889
158,PRUNED,44.50099999999973,0.2,0.029839471937118826,0.9551702772736399,256,6.539783520155505e-05,64,10,4096,0.8876357989741147
159,PRUNED,6.664999999999991,0.2,0.026033882732699975,0.929022823641062,256,1.4936023766245057e-05,64,10,4096,0.9031844109795444
160,COMPLETE,129.57499999999752,0.2,0.02075826306927181,0.9395049433317033,256,6.887856646429466e-05,64,10,4096,0.9705760526502176
161,COMPLETE,142.19999999999695,0.3,0.005912010136934154,0.9023523292478128,256,6.622309478628217e-05,128,4,4096,0.8137187808568083
162,PRUNED,4.432999999999996,0.1,0.005766908588243034,0.9471748134870855,256,2.7899051380031884e-05,128,10,8192,0.5014041943851422
163,PRUNED,25.60200000000006,0.3,0.009184395495281529,0.9145593617718097,256,3.713220033297849e-05,128,4,4096,0.6068197046902356
164,PRUNED,65.24900000000054,0.3,0.01070620134250438,0.9240923321340586,512,0.0002790496113461459,128,4,8192,0.616466692673294
165,PRUNED,43.18099999999984,0.1,0.03577356706510142,0.9848353915806614,256,0.0005482213296283143,256,4,4096,0.5336282043857725
166,COMPLETE,660.4000000000642,0.1,0.03300941005502357,0.9444733461781818,512,0.0003065023049246605,256,4,4096,0.5189955389867604
