episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
111,33214,278.5,ppo_cnn,3-1,18.6667,279.0,71,1.0,340,301,1,False,enemy,False,385,1,600,1,1
112,34343,287.0,ppo_cnn,1-1,103.0667,1547.0,1129,6.0,1801,1782,6,False,enemy,False,174,3,1300,1,1
113,34433,287.7,ppo_cnn,3-1,22.5333,337.0,90,1.0,407,367,1,False,enemy,False,381,0,400,1,1
114,34477,288.1,ppo_cnn,1-3,15.0667,225.0,44,0.0,290,250,0,False,pit,False,291,0,0,1,4
115,34543,288.6,ppo_cnn,1-3,21.8667,328.0,66,1.0,397,357,1,False,pit,False,287,0,0,1,4
116,34684,289.7,ppo_cnn,3-1,30.4667,457.0,141,1.0,527,495,1,False,enemy,False,372,2,400,1,1
117,35592,296.7,ppo_cnn,1-1,66.7333,1001.0,908,4.0,1236,1196,4,False,enemy,False,219,0,300,1,1
118,36041,300.1,ppo_cnn,1-1,84.9333,1274.0,449,5.0,1417,1377,5,False,pit,False,310,0,300,1,1
119,36096,300.5,ppo_cnn,4-1,28.1333,422.0,55,1.0,489,451,1,False,enemy,False,389,0,0,1,1
120,36157,301.0,ppo_cnn,1-3,13.8667,207.0,61,0.0,275,239,0,False,pit,False,287,0,0,1,4
121,36214,301.4,ppo_cnn,4-1,31.0,465.0,57,1.0,531,491,1,False,pit,False,389,0,0,1,1
122,36313,302.2,ppo_cnn,4-1,20.8667,312.0,99,1.0,390,350,1,False,enemy,False,379,0,0,1,1
123,36604,304.5,ppo_cnn,2-1,29.8667,448.0,291,1.0,531,491,1,False,enemy,False,342,0,3000,1,1
124,36651,304.9,ppo_cnn,1-3,16.2667,244.0,47,1.0,311,271,1,False,pit,False,291,0,0,1,4
125,36922,308.3,ppo_cnn,4-1,52.5333,802.0,271,3.0,887,847,3,False,enemy,False,345,4,800,1,1
126,36945,308.5,ppo_cnn,5-1,7.5333,113.0,23,0.0,176,136,0,False,enemy,False,295,0,0,1,1
127,37020,309.1,ppo_cnn,3-1,17.8,267.0,75,1.0,338,298,1,False,enemy,False,385,0,0,1,1
128,37080,309.6,ppo_cnn,1-3,16.4,246.0,60,1.0,316,277,1,False,pit,False,288,0,0,1,4
129,37307,311.3,ppo_cnn,1-1,42.0667,631.0,227,2.0,724,684,2,False,enemy,False,355,1,200,1,1
130,37559,313.3,ppo_cnn,2-1,29.2667,438.0,252,1.0,530,490,1,False,enemy,False,349,0,1400,1,1
131,37630,313.9,ppo_cnn,3-1,16.8667,253.0,71,1.0,319,279,1,False,enemy,False,385,1,200,1,1
132,37671,314.2,ppo_cnn,3-1,20.2667,304.0,41,1.0,363,323,1,False,enemy,False,391,1,200,1,1
133,37718,314.6,ppo_cnn,1-3,14.0667,210.0,47,0.0,275,235,0,False,pit,False,290,0,0,1,4
134,37781,315.1,ppo_cnn,3-1,18.6,278.0,63,1.0,348,314,1,False,enemy,False,387,0,0,1,1
135,38756,322.5,ppo_cnn,1-1,78.2,1172.0,975,5.0,1412,1372,5,False,pit,False,204,1,700,1,1
136,38896,323.6,ppo_cnn,3-1,32.8667,493.0,140,2.0,568,532,2,False,enemy,False,372,0,1000,1,1
137,38945,324.0,ppo_cnn,1-3,20.8,311.0,49,1.0,376,336,1,False,pit,False,290,0,0,1,4
138,38995,324.3,ppo_cnn,3-1,18.7333,281.0,50,1.0,345,305,1,False,enemy,False,391,0,0,1,1
139,39028,324.6,ppo_cnn,2-1,18.7333,281.0,33,1.0,345,305,1,False,enemy,False,394,0,0,1,1
140,39083,325.0,ppo_cnn,3-1,20.2667,304.0,55,1.0,373,333,1,False,enemy,False,389,0,0,1,1
141,39247,326.4,ppo_cnn,4-1,15.6667,235.0,164,1.0,323,283,1,False,enemy,False,367,0,0,1,1
142,39391,327.5,ppo_cnn,4-1,21.6667,325.0,144,1.0,411,371,1,False,enemy,False,372,0,0,1,1
143,39621,329.3,ppo_cnn,3-1,27.7333,415.0,230,1.0,499,459,1,False,enemy,False,353,1,1300,1,1
144,39929,331.8,ppo_cnn,2-1,53.1333,797.0,308,3.0,892,852,3,False,enemy,False,339,1,1700,1,1
145,39970,332.1,ppo_cnn,1-3,15.0,225.0,41,0.0,289,249,0,False,pit,False,292,0,0,1,4
146,40033,332.6,ppo_cnn,3-1,21.8667,328.0,63,1.0,394,356,1,False,enemy,False,387,0,400,1,1
147,40163,333.6,ppo_cnn,2-1,24.1333,362.0,130,1.0,444,404,1,False,enemy,False,374,0,100,1,1
148,40205,333.9,ppo_cnn,2-1,17.4,261.0,42,1.0,324,284,1,False,enemy,False,392,0,0,1,1
149,40347,335.0,ppo_cnn,3-1,28.0667,420.0,142,1.0,499,461,1,False,enemy,False,371,0,500,1,1
150,40400,335.5,ppo_cnn,1-3,15.0,225.0,53,0.0,291,251,0,False,pit,False,290,0,0,1,4
151,40959,339.7,ppo_cnn,1-1,49.0,733.0,559,3.0,899,859,3,False,enemy,False,287,0,200,1,1
152,41006,341.3,ppo_cnn,1-3,16.4,246.0,47,1.0,313,273,1,False,pit,False,291,0,0,1,4
153,41154,342.5,ppo_cnn,2-1,30.4667,456.0,148,1.0,530,490,1,False,enemy,False,370,0,1100,1,1
154,41257,343.3,ppo_cnn,4-1,21.0,315.0,103,1.0,391,351,1,False,enemy,False,379,0,0,1,1
155,41331,343.8,ppo_cnn,3-1,20.3333,305.0,74,1.0,364,338,1,False,enemy,False,386,1,700,1,1
156,41666,346.4,ppo_cnn,3-1,42.3333,635.0,335,2.0,756,716,2,False,pit,False,333,0,100,1,1
157,41744,347.1,ppo_cnn,5-1,43.0,645.0,78,2.0,717,677,2,False,enemy,False,284,0,0,1,1
158,41890,348.2,ppo_cnn,2-1,37.3333,560.0,146,2.0,638,598,2,False,enemy,False,371,1,300,1,1
159,42028,349.3,ppo_cnn,4-1,16.8667,253.0,138,1.0,338,298,1,False,enemy,False,372,0,0,1,1
160,42190,350.6,ppo_cnn,4-1,20.2667,303.0,162,1.0,393,356,1,False,enemy,False,367,0,0,1,1
161,42224,350.9,ppo_cnn,1-3,14.8667,222.0,34,0.0,286,246,0,False,pit,False,293,0,0,1,4
162,42270,351.2,ppo_cnn,1-3,15.5333,233.0,46,1.0,300,262,1,False,pit,False,290,0,0,1,4
163,42323,351.6,ppo_cnn,2-1,17.0667,256.0,53,1.0,322,282,1,False,enemy,False,389,0,0,1,1
164,42478,352.8,ppo_cnn,1-1,42.5333,638.0,155,2.0,723,683,2,False,enemy,False,369,0,100,1,1
165,42726,354.7,ppo_cnn,4-1,80.4667,1207.0,248,5.0,1307,1282,5,False,pit,False,350,1,200,1,1
166,42886,356.0,ppo_cnn,4-1,24.0,360.0,160,1.0,441,401,1,False,enemy,False,369,1,200,1,1
167,42962,356.6,ppo_cnn,3-1,21.7333,326.0,76,1.0,389,349,1,False,enemy,False,385,0,1000,1,1
168,43003,356.9,ppo_cnn,5-1,15.7333,236.0,41,1.0,300,260,1,False,enemy,False,292,0,200,1,1
169,43048,357.3,ppo_cnn,3-1,18.8667,283.0,45,1.0,342,302,1,False,enemy,False,391,1,200,1,1
170,43324,359.5,ppo_cnn,4-1,79.5333,1196.0,276,4.0,1301,1261,4,False,pit,False,344,1,200,1,1
171,43421,360.2,ppo_cnn,2-1,26.1333,392.0,97,1.0,455,415,1,False,enemy,False,381,0,1100,1,1
172,43464,360.6,ppo_cnn,5-1,14.0667,210.0,43,0.0,276,236,0,False,enemy,False,291,0,0,1,1
173,43510,360.9,ppo_cnn,1-1,15.2,228.0,46,0.0,287,250,0,False,enemy,False,391,1,200,1,1
174,43561,361.3,ppo_cnn,2-1,16.8667,252.0,51,1.0,319,279,1,False,enemy,False,389,0,0,1,1
175,43906,364.0,ppo_cnn,1-1,86.4667,1296.0,345,5.0,1414,1376,5,False,pit,False,330,1,400,1,1
176,43927,364.2,ppo_cnn,5-1,8.6,129.0,21,0.0,191,151,0,False,enemy,False,296,0,0,1,1
177,44188,366.1,ppo_cnn,1-1,41.0667,616.0,261,2.0,722,682,2,False,enemy,False,348,0,100,1,1
178,44244,366.6,ppo_cnn,4-1,31.2,467.0,56,1.0,535,495,1,False,pit,False,388,0,0,1,1
179,44335,367.3,ppo_cnn,4-1,24.0,360.0,91,1.0,434,394,1,False,enemy,False,382,0,0,1,1
